"name","coordinates"
"Palermo","38.11564,13.3614059"
"Ustica","38.7091422,13.1931097"
"Cefalu","38.0394687,14.0220595"
"Monreale","38.0812346,13.2896946"
"Scicli","36.7913775,14.7024872"
"Syracuse","37.0662275,15.2842881"
"Taormina","37.8530665,15.2879163"
"Catania","37.5024825,15.0878345"
"Aci Castello","37.5555615,15.1466519"
"Castelmola","37.8590439,15.2780444"
"Stromboli island","38.7892885,15.2136302"
"Filicudi island","38.5664923,14.5597007"
"Vulcano island","38.390608,14.9680914"
"Panarea island","38.6374514,15.0645091"
"Lipari island","38.4936623,14.9272044"
"Ragusa","36.9259126,14.7285037"
"Caltagirone","37.2371809,14.5132361"
"Agrigento","37.3111882,13.576956"
"Trapani","38.0185881,12.5146338"
"San Vito Lo Capo","38.1749742,12.7336829"
"Erice","38.0364785,12.583763"
"Enna","37.5675948,14.2797059"
"Messina","38.1923323,15.5555232"
"Savoca","37.9539754,15.3404584"
"Ostuni","40.7287777,17.5773703"
"Otranto","40.1480291,18.4857544"
"Alberobello","40.786222,17.2376025"
"Castellana Grotte","40.8686922,17.1839024"
"Ceglie Messapica","40.6450185,17.5164259"
"Foggia","41.4622919,15.5447458"
"Lecce","40.3532912,18.1740146"
"Taranto","40.4692383,17.2400088"
"Martina Franca","40.7042407,17.3348703"
"Monopoli","40.9570555,17.2904814"
"Bari","41.1259135,16.8721133"
"Maratea","39.9979314,15.7183069"
"Matera","40.6686534,16.6060872"
"Cosenza","39.2981996,16.2538921"
"Positano","40.6298703,14.4862777"
"Ravello","40.6493353,14.611508"
"Capri","40.5532009,14.222154"
"Ischia","40.7353333,13.9481481"
"Sorrento","40.6263211,14.3757383"
"Naples","40.8399833,14.2525421"
"L'Aquila","42.3506978,13.3999338"
"Scanno","41.9017495,13.8827474"
"Sulmona","42.046828,13.925648"
"Termoli","41.9957668,14.9905314"
"Vasto","42.112706,14.709621"
"Rome","41.8905198,12.4942486"
"Tivoli","41.9635786,12.7982722"
"Viterbo","42.4173794,12.1048541"
"Palestrina","41.8353674,12.8845383"
"Frascati","41.8062042,12.6804299"
"Castel Gandolfo","41.7449511,12.6733009"
"Nemi","41.719675,12.714927"
"Ascoli Piceno","42.8554018,13.5749771"
"Urbino","43.7247469,12.6366847"
"Macerata","43.3007462,13.456262"
"Pesaro","43.912069,12.915744"
"Assisi","43.0701666,12.6175185"
"Gubbio","43.3554814,12.5734444"
"Orvieto","42.7164699,12.1115691"
"Perugia","43.1107009,12.389172"
"Spello","42.989815,12.671938"
"Spoleto","42.7453344,12.7384305"
"Todi","42.7802296,12.4084527"
"Torgiano","43.026211,12.436501"
"Arezzo","43.4712011,11.8630617"
"Cortona","43.2740814,11.9877538"
"San Gimignano","43.4703333,11.0437592"
"Siena","43.3186614,11.3305135"
"Volterra","43.4014259,10.8611111"
"Monteriggioni","43.3896642,11.2244584"
"Greve in Chianti","43.5850969,11.3153622"
"Gaiole in Chianti","43.469303,11.4333039"
"Castellina in Chianti","43.4713573,11.2853687"
"Barga","44.0753333,10.4818888"
"Lucca","43.8430139,10.507994"
"Montecatini Terme","43.884537,10.7747037"
"Pisa","43.7161354,10.3965843"
"San Miniato","43.679363,10.85133"
"Viareggio","43.874537,10.2568888"
"Elba island","42.7781867,10.1927389"
"Giglio island","42.3656142,10.9015253"
"Montalcino","43.0605903,11.4889829"
"Montepulciano","43.092926,11.782389"
"Pienza","43.0789259,11.6789074"
"Pitigliano","42.6359629,11.674537"
"San Quirico d'Orcia","43.0576666,11.6059629"
"Sorano","42.6825789,11.713699"
"Florence","43.7687324,11.2569013"
"Bologna","44.4941903,11.3465185"
"Ferrara","44.8378378,11.6203994"
"Ravenna","44.4157304,12.1965888"
"Modena","44.647115,10.9251857"
"Parma","44.8078657,10.3295478"
"Piacenza","45.0537735,9.6951421"
"Rimini","44.0609167,12.5663013"
"Castell'Arquato","44.853665,9.870782"
"Cinque Terre","44.120556,9.7228662"
"Alassio","44.0026703,8.1669386"
"Albenga","44.0484502,8.2149591"
"Camogli","44.3488123,9.1560506"
"Cervo","43.9272457,8.1152184"
"Chiavari","44.317063,9.3202459"
"Finale Ligure","44.1699853,8.345165"
"Genoa","44.4070624,8.9339889"
"Imperia","43.8878924,8.0315641"
"Lerici","44.075671,9.911555"
"Levanto","44.1712777,9.6134629"
"Portofino","44.3039609,9.2077723"
"Portovenere","44.0519359,9.8353078"
"San Remo","43.8184062,7.7784215"
"Santa Margherita Ligure","44.3350185,9.212037"
"Noli","44.2070526,8.4141335"
"Alba","44.7008623,8.0352592"
"Aosta","45.7350001,7.313234"
"Asti","44.9008642,8.206813"
"Bra","44.6978177,7.8545363"
